lambda,E0_exact,E0_vqe,abs_error,theta,success
0.0,0.0,1.232595164407831e-30,1.232595164407831e-30,1.1102230246251565e-15,True
0.01,0.029998984771835203,0.029998984771835196,6.938893903907228e-18,-0.0010152281154715364,True
0.02,0.05999587629304251,0.05999587629304252,6.938893903907228e-18,-0.0020618530627647116,True
0.03,0.08999057593947983,0.08999057593947983,0.0,-0.0031413520243236664,True
0.04,0.11998297880045777,0.11998297880045779,1.3877787807814457e-17,-0.004255296172834489,True
0.05,0.1499729731703918,0.1499729731703918,0.0,-0.005405358252945714,True
0.06,0.17996043999038308,0.17996043999038316,8.326672684688674e-17,-0.006593320909860353,True
0.07,0.20994525223388769,0.2099452522338879,2.220446049250313e-16,-0.007821085847426319,True
0.08,0.23992727422984023,0.2399272742298408,5.828670879282072e-16,-0.009090683917283914,True
0.09,0.2699063609156873,0.2699063609156886,1.27675647831893e-15,-0.01040428624851088,True
0.1,0.2998823570117273,0.2998823570117297,2.4424906541753444e-15,-0.01176421654586714,True
0.11,0.32985509610692765,0.3298550961069322,4.551914400963142e-15,-0.01317296470287359,True
0.12,0.3598243996449649,0.35982439964497304,8.1601392309949e-15,-0.014633201893760666,True
0.13,0.3897900757975686,0.38979007579758274,1.4155343563970746e-14,-0.016147797338483157,True
0.14,0.41975191821030844,0.41975191821033203,2.3592239273284576e-14,-0.017719836956088576,True
0.15,0.4497097046036829,0.44970970460372095,3.802513859341161e-14,-0.01935264416412609,True
0.16,0.47966319520969297,0.4796631952097531,6.011857678345223e-14,-0.021049803110919713,True
0.17,0.5096121310209212,0.5096121310210134,9.225953334635051e-14,-0.02281518468274214,True
0.18,0.5395562318254085,0.5395562318255479,1.3944401189291966e-13,-0.024652975679342524,True
0.19,0.5694951939961893,0.5694951939963959,2.0661250488274163e-13,-0.026567711610240644,True
0.2,0.5994286879990723,0.5994286879993735,3.0120350658080497e-13,-0.02856431365525746,True
0.21,0.629356355575965,0.6293563555763984,4.333200465111986e-13,-0.030648130406108004,True
0.22,0.6592778065534979,0.6592778065541127,6.148415110374117e-13,-0.032824985133950726,True
0.23,0.6891926152176285,0.6891926152184913,8.627543124362091e-13,-0.035101229444000945,True
0.24,0.7191003161839722,0.7191003161851701,1.197930643570544e-12,-0.037483804349572575,True
0.25,0.7490003996803196,0.749000399681967,1.6473489239388073e-12,-0.03998030998107419,True
0.26,0.7788923061416737,0.7788923061428984,1.2246870184640102e-12,-0.04259575142044981,True
0.27,0.8087754199983952,0.8087754199990852,6.900036098045348e-13,-0.0453459661464958,True
0.28,0.8386490625138326,0.8386490625141053,2.7267077484793845e-13,-0.048237725903729524,True
0.29,0.8685124834979397,0.8685124834979713,3.1530333899354446e-14,-0.051282194413975114,True
0.3,0.898364851686367,0.8983648516863686,1.5543122344752192e-15,-0.054491507819760934,True
0.31,0.9282052435284076,0.9282052435284096,1.9984014443252818e-15,-0.05787926716636886,True
0.32,0.9580326300694441,0.9580326300694467,2.6645352591003757e-15,-0.06146102666915875,True
0.33,0.9878458615408422,0.9878458615408456,3.4416913763379853e-15,-0.06525384132776758,True
0.34,1.017643649178161,1.0176436491781655,4.440892098500626e-15,-0.06927681261626147,True
0.35000000000000003,1.0474245436712115,1.0474245436712173,5.773159728050814e-15,-0.07355140275073317,True
0.36,1.0771869094990036,1.0771869094990116,7.993605777301127e-15,-0.07810180825337985,True
0.37,1.1069288942083053,1.106928894208316,1.0658141036401503e-14,-0.08295540617263884,True
0.38,1.1366483914418184,1.1366483914418317,1.3322676295501878e-14,-0.08814328984690382,True
0.39,1.1663429961908793,1.1663429961908969,1.7541523789077473e-14,-0.09370091568359727,True
0.4,1.196009950310329,1.1960099503103514,2.2426505097428162e-14,-0.09966888845346197,True
0.41000000000000003,1.2256460757508878,1.2256460757509164,2.864375403532904e-14,-0.10609392057365598,True
0.42,1.2552476921821591,1.2552476921821962,3.708144902248023e-14,-0.11303001147506228,True
0.43,1.2848105146186781,1.2848105146187254,4.729550084903167e-14,-0.12053990744713478,True
0.44,1.3143295252090843,1.3143295252091447,6.039613253960852e-14,-0.12869692173011976,True
0.45,1.3437988113390833,1.3437988113391603,7.704947790898586e-14,-0.13758722114839747,True
0.46,1.373211359388191,1.3732113593882886,9.769962616701378e-14,-0.14731272221094882,True
0.47000000000000003,1.402558789503101,1.4025587895032239,1.2279066652354231e-13,-0.15799479068713912,True
0.48,1.4318310110539296,1.4318310110540837,1.5409895581797173e-13,-0.16977901057784386,True
0.49,1.461015770175045,1.4610157701752366,1.9162449405030202e-13,-0.1828413906267118,True
0.5,1.4900980486407214,1.490098048640958,2.3669954885008337e-13,-0.19739652316223782,True
0.51,1.5190592552091264,1.5190592552094153,2.8888003100746573e-13,-0.213708422240628,True
0.52,1.5478761231697669,1.5478761231701137,3.468336728928989e-13,-0.23210507716196455,True
0.53,1.576519185794681,1.5765191857950909,4.098943406916078e-13,-0.25299820959937824,True
0.54,1.6049506359959558,1.6049506359964267,4.709566070459914e-13,-0.276910383302958,True
0.55,1.633121273443117,1.633121273443617,4.998224056862455e-13,-0.3045092327660852,True
0.56,1.6609660783933267,1.660966078393727,4.0034642267983145e-13,-0.3366732826301189,True
0.5700000000000001,1.688397689353882,1.6883976893542247,3.4283687000424834e-13,-0.3745454886269133,True
0.58,1.7152966456116117,1.7152966456119483,3.3661962106634746e-13,-0.41964932497520996,True
0.59,1.741496615109202,1.7414966151095248,3.228528555609955e-13,-0.47402943865209224,True
0.6,1.7667619242061878,1.7667619242063346,1.467714838554457e-13,-0.5404206210400064,True
0.61,1.7907537336055908,1.7907537336056083,1.7541523789077473e-14,-0.6224721108633495,True
0.62,1.8129812843590245,1.81298128435903,5.551115123125783e-15,-0.724865900241656,True
0.63,1.8327397237835592,1.8327397237835599,6.661338147750939e-16,-0.8530911259058648,True
0.64,1.8490563018870947,1.8490563018870954,6.661338147750939e-16,-1.0121968849837861,True
0.65,1.8607161172281588,1.8607161172281592,4.440892098500626e-16,-1.2036224808974358,True
0.66,1.866493445853771,1.866493445853771,0.0,-1.4204249071279935,True
0.67,1.8656273837420738,1.8656273837420736,2.220446049250313e-16,-1.6452850411007196,True
0.68,1.8582396388266451,1.8582396388266524,7.327471962526033e-15,-1.8568474540502447,True
0.6900000000000001,1.845261510928922,1.8452615109289319,9.769962616701378e-15,-2.0402238612399684,True
0.7000000000000001,1.8279534946591474,1.8279534946591505,3.1086244689504383e-15,-2.191045620707015,True
0.71,1.8074798711822582,1.807479871182258,2.220446049250313e-16,-2.3121054008022015,True
0.72,1.7847420152468203,1.7847420152468212,8.881784197001252e-16,-2.408777628035149,True
0.73,1.7603836399575354,1.7603836399575368,1.3322676295501878e-15,-2.486406047985326,True
0.74,1.7348509852931753,1.7348509852931755,2.220446049250313e-16,-2.5494059690308677,True
0.75,1.708452405257735,1.708452405257735,0.0,-2.6011731655360966,True
0.76,1.6814030759721619,1.681403075972205,4.3076653355456074e-14,-2.644250456466362,True
0.77,1.6538555214942754,1.6538555214943158,4.04121180963557e-14,-2.6805295019410313,True
0.78,1.6259197946963782,1.6259197946964086,3.042011087472929e-14,-2.711425757098909,True
0.79,1.5976767468813167,1.5976767468813362,1.9539925233402755e-14,-2.738006658305701,True
0.8,1.5691868154292394,1.5691868154292492,9.769962616701378e-15,-2.7610864880487607,True
0.81,1.540495919495811,1.5404959194958145,3.552713678800501e-15,-2.781293833643487,True
0.8200000000000001,1.5116394774349589,1.5116394774349595,6.661338147750939e-16,-2.7991197218187978,True
0.8300000000000001,1.4826451894492523,1.4826451894492523,0.0,-2.8149521423415123,True
0.84,1.4535349965459818,1.4535349965459832,1.3322676295501878e-15,-2.829101021294466,True
0.85,1.4243264814150298,1.4243264814150338,3.9968028886505635e-15,-2.8418164700594284,True
0.86,1.3950338852464543,1.395033885246461,6.661338147750939e-15,-2.8533022653715965,True
0.87,1.3656688561957564,1.3656688561957655,9.103828801926284e-15,-2.8637259159624318,True
0.88,1.3362410075938704,1.3362410075938813,1.0880185641326534e-14,-2.8732262611830364,True
0.89,1.3067583393938305,1.3067583393938431,1.2656542480726785e-14,-2.8819192664426354,True
0.9,1.2772275600162937,1.2772275600163077,1.3988810110276972e-14,-2.889902487416618,True
0.91,1.2476543347636007,1.247654334763615,1.4432899320127035e-14,-2.897258541394836,True
0.92,1.218043479469606,1.2180434794696204,1.4432899320127035e-14,-2.9040578308098257,True
0.93,1.1883991128639644,1.1883991128639784,1.3988810110276972e-14,-2.9103606981675507,True
0.9400000000000001,1.1587247774954972,1.1587247774955103,1.3100631690576847e-14,-2.9162191447366865,True
0.9500000000000001,1.129023536483333,1.1290235364833452,1.2212453270876722e-14,-2.9216782116624267,True
0.96,1.0992980515175956,1.0992980515176063,1.0658141036401503e-14,-2.9267770977167697,True
0.97,1.0695506461929267,1.0695506461929363,9.547918011776346e-15,-2.9315500699919026,True
0.98,1.0397833577780482,1.0397833577780564,8.215650382226158e-15,-2.936027210603095,True
0.99,1.0099979798000414,1.009997979800048,6.661338147750939e-15,-2.940235032608341,True
1.0,0.980196097281443,0.9801960972814484,5.440092820663267e-15,-2.944196990934327,True
