lambda,E0_exact,E0_vqe,E_even,E_odd,abs_error,best_sector
0.0,0.0,3.4512664603419266e-31,3.4512664603419266e-31,2.50000000000062,3.4512664603419266e-31,even
0.01,0.029942857609321832,0.02994285760932191,0.02994285760932191,2.469900002500541,7.632783294297951e-17,even
0.02,0.059771436034498054,0.05977143603450225,0.05977143603450225,2.4396000399927043,4.198030811863873e-15,even
0.03,0.0894857520644199,0.08948575206446316,0.08948575206446316,2.409100202409654,4.325706459695766e-14,even
0.04,0.11908583367143946,0.11908583367165845,0.11908583367165845,2.3784006394892523,2.1899149160731213e-13,even
0.05,0.14857171999768076,0.14857171999843374,0.14857171999843374,2.347501560550664,7.529810108763968e-13,even
0.06,0.1779434613358967,0.17794346133792416,0.17794346133792416,2.31640323418182,2.0274615319948452e-12,even
0.07,0.20720111910489503,0.2072011191095076,0.2072011191095076,2.2851059878394646,4.612560333683291e-12,even
0.08,0.23634476581955913,0.23634476582142752,0.23634476582142752,2.2536102073631548,1.868394328141676e-12,even
0.09,0.26537448505550026,0.26537448505558564,0.26537448505558564,2.2219163364048975,8.537615059367454e-14,even
0.1,0.2942903714083792,0.2942903714083852,0.2942903714083852,2.190024875776373,5.995204332975845e-15,even
0.11,0.3230925304479447,0.32309253044795444,0.32309253044795444,2.1579363827159725,9.71445146547012e-15,even
0.12,0.35178107866684005,0.35178107866685543,0.35178107866685543,2.1256514700781244,1.5376588891058418e-14,even
0.13,0.3803561434242363,0.3803561434242593,0.3803561434242593,2.0931708054476243,2.298161660974074e-14,even
0.14,0.40881786288435334,0.4088178628843867,0.4088178628843867,2.0604951101819164,3.3362201889985954e-14,even
0.15,0.4371663859499408,0.4371663859499876,0.4371663859499876,2.0276251583844567,4.679590048795035e-14,even
0.16,0.46540187219079054,0.46540187219085455,0.46540187219085455,1.994561775812507,6.400435736964027e-14,even
0.17,0.49352449176736046,0.49352449176744606,0.49352449176744606,1.9613058387228577,8.559819519859957e-14,even
0.18,0.5215344253495957,0.5215344253497073,0.5215344253497073,1.9278582726591142,1.1157741397482823e-13,even
0.19,0.5494318640310341,0.5494318640311774,0.5494318640311774,1.8942200511843175,1.433297924791077e-13,even
0.2,0.5772170092382928,0.5772170092384735,0.5772170092384735,1.8603921945628967,1.8074430840897548e-13,even
0.21,0.6048900726360319,0.6048900726362567,0.6048900726362567,1.8263757683957835,2.248201624865942e-13,even
0.22,0.632451276027502,0.6324512760277772,0.6324512760277772,1.7921718822127937,2.752242878045763e-13,even
0.23,0.6599008512507755,0.6599008512511088,0.6599008512511088,1.7577816880263772,3.33288951992472e-13,even
0.24,0.6872390400707834,0.6872390400711821,0.6872390400711821,1.7232063788508465,3.986810881428937e-13,even
0.25,0.7144660940672622,0.7144660940677346,0.7144660940677346,1.6884471871912088,4.723998969780041e-13,even
0.26,0.7415822745187363,0.74158227451929,0.74158227451929,1.6535053835057203,5.537792446830281e-13,even
0.27,0.768587852282652,0.7685878522832956,0.7685878522832956,1.6183822746462486,6.435962873752032e-13,even
0.28,0.7954831076717945,0.7954831076725364,0.7954831076725364,1.5830792022804845,7.418510250545296e-13,even
0.29,0.8222683303271088,0.8222683303279574,0.8222683303279574,1.5475975412999794,8.486544800234697e-13,even
0.3,0.8489438190870592,0.8489438190880226,0.8489438190880226,1.511938698217909,9.634515407697108e-13,even
0.31,0.8755098818536574,0.8755098818547441,0.8755098818547441,1.4761041095603762,1.0866862965031032e-12,even
0.32,0.901966835455296,0.9019668354565139,0.9019668354565139,1.4400952402549372,1.2179146580137967e-12,even
0.33,0.9283150055065228,0.9283150055078796,0.9283150055078796,1.4039135820199615,1.3568035583944038e-12,even
0.34,0.9545547262648949,0.9545547262663977,0.9545547262663977,1.3675606517582573,1.5027978861326119e-12,even
0.35000000000000003,0.9806863404850507,0.9806863404867068,0.9806863404867068,1.3310379899582911,1.656119685833346e-12,even
0.36,1.006710199270146,1.0067101992719623,1.0067101992719623,1.2943471591061761,1.816324868286756e-12,even
0.37,1.0326266619207884,1.0326266619227704,1.0326266619227704,1.257489742111434,1.9819701435608295e-12,even
0.38,1.0584360957816208,1.058436095783774,1.058436095783774,1.2204673407494062,2.1531665339580286e-12,even
0.39,1.0841388760856894,1.084138876088019,1.084138876088019,1.1832815741229918,2.3296919948734285e-12,even
0.4,1.1097353857967518,1.1097353857992611,1.1097353857992611,1.1459340771462465,2.509326080257779e-12,even
0.41000000000000003,1.1084264990521373,1.108426499052204,1.1352260154523433,1.108426499052204,6.661338147750939e-14,odd
0.42,1.0707605019270001,1.070760501927088,1.1606111629917963,1.070760501927088,8.79296635503124e-14,odd
0.43,1.0329377592728313,1.0329377592729418,1.1858912336088026,1.0329377592729418,1.1057821325266559e-13,odd
0.44,0.9949599546003738,0.9949599546005081,1.2110666395766634,0.9949599546005081,1.3433698597964394e-13,odd
0.45,0.956828780053869,0.9568287800540278,1.2361378000849188,0.9568287800540278,1.588729148238599e-13,odd
0.46,0.9185459350692775,0.9185459350694611,1.261105141072256,0.9185459350694611,1.836308882730009e-13,odd
0.47000000000000003,0.8801131250672578,0.8801131250674645,1.2859690950583433,0.8801131250674645,2.0672352718520415e-13,odd
0.48,0.8415320601820725,0.8415320601823015,1.310730100974737,0.8415320601823015,2.290390099801698e-13,odd
0.49,0.8028044540274416,0.8028044540276913,1.335388603994995,0.8028044540276913,2.496891582381977e-13,odd
0.5,0.7639320225002103,0.7639320225004771,1.3599450553641255,0.7639320225004771,2.667865928174251e-13,odd
0.51,0.7249164826225278,0.72491648262281,1.3843999122275177,0.72491648262281,2.822186928597148e-13,odd
0.52,0.6857595514231407,0.6857595514234339,1.4087536374594753,0.6857595514234339,2.9320990080350384e-13,odd
0.53,0.6464629448582027,0.6464629448585041,1.4330066994914898,0.6464629448585041,3.0142555118573e-13,odd
0.54,0.6070283767719402,0.6070283767722465,1.4571595721403756,0.6070283767722465,3.063105324940807e-13,odd
0.55,0.5674575578973343,0.5674575578976415,1.481212734436169,0.5674575578976415,3.071987109137808e-13,odd
0.56,0.5277521948968954,0.5277521948972002,1.5051666704509983,0.5277521948972002,3.0475622025960547e-13,odd
0.5700000000000001,0.48791398944348663,0.48791398944349496,1.529021869127039,0.48791398944349496,8.326672684688674e-15,odd
0.58,0.4479446373410522,0.4479446373410521,1.5527788241053788,0.4479446373410521,1.1102230246251565e-16,odd
0.59,0.407845827684992,0.4078458276849931,1.5764380335553658,0.4078458276849931,1.1102230246251565e-15,odd
0.6,0.36761924206187985,0.3676192420618801,1.60000000000447,0.3676192420618801,2.7755575615628914e-16,odd
0.61,0.32726655378807545,0.3272665537889607,1.6234652301688286,0.3272665537889607,8.852363286848686e-13,odd
0.62,0.28678942718676376,0.2867894271868947,1.6468342347845772,0.2867894271868947,1.3095080575453721e-13,odd
0.63,0.24618951690284596,0.24618951690285942,1.6701075284400775,0.24618951690285942,1.3461454173580023e-14,odd
0.64,0.20546846725506718,0.20546846725506762,1.6932856294091352,0.20546846725506762,4.440892098500626e-16,odd
0.65,0.16462791162468732,0.16462791162468746,1.7163690594853,0.16462791162468746,1.3877787807814457e-16,odd
0.66,0.12366947187997457,0.12366947187997471,1.739358343817357,0.12366947187997471,1.3877787807814457e-16,odd
0.67,0.08259475783573134,0.0825947578357314,1.7622540107460722,0.0825947578357314,6.938893903907228e-17,odd
0.68,0.041405366747043926,0.04140536674710839,1.7850565916423033,0.04140536674710839,6.446232436729815e-14,odd
0.6900000000000001,0.00010288283639425799,0.00010288283640866647,1.8077666207465466,0.00010288283640866647,1.44084776661918e-14,odd
0.7000000000000001,-0.041311123146740736,-0.04131112314674071,1.8303846350099937,-0.04131112314674071,2.7755575615628914e-17,odd
0.71,-0.0828350943347167,-0.08283509433471684,1.8529111739371884,-0.08283509433471684,1.3877787807814457e-16,odd
0.72,-0.12446748811989805,-0.12446748811979735,1.8753467794303413,-0.12446748811979735,1.006972283335017e-13,odd
0.73,-0.16620677650312543,-0.16620677650304236,1.89769199563538,-0.16620677650304236,8.307243781757734e-14,odd
0.74,-0.20805144641343748,-0.20805144641337722,1.919947368789798,-0.20805144641337722,6.025735466153037e-14,odd
0.75,-0.24999999999999997,-0.24999999999995962,1.9421134470723627,-0.24999999999995962,4.035660694512444e-14,odd
0.76,-0.2920509548972129,-0.29205095489718785,1.9641907804547412,-0.29205095489718785,2.503552920529728e-14,odd
0.77,-0.3342028444639708,-0.3342028444639555,1.9861799205550992,-0.3342028444639555,1.532107773982716e-14,odd
0.78,-0.37645421799803036,-0.37645421799802153,2.0080814204937307,-0.37645421799802153,8.826273045769994e-15,odd
0.79,-0.4188036409264644,-0.4188036409264595,2.0298958347507536,-0.4188036409264595,4.884981308350689e-15,odd
0.8,-0.4612496949731399,-0.46124969497313734,2.0516237190259305,-0.46124969497313734,2.55351295663786e-15,odd
0.81,-0.5037909783041825,-0.5037909783041813,2.0732656301006496,-0.5037909783041813,1.2212453270876722e-15,odd
0.8200000000000001,-0.5464261056523543,-0.5464261056523531,2.0948221257021045,-0.5464261056523531,1.2212453270876722e-15,odd
0.8300000000000001,-0.5891537084212626,-0.5891537084212624,2.116293764369712,-0.5891537084212624,2.220446049250313e-16,odd
0.84,-0.6319724347703216,-0.6319724347703213,2.137681105323794,-0.6319724347703213,3.3306690738754696e-16,odd
0.85,-0.6748809496813374,-0.6748809496813373,2.1589847083365616,-0.6748809496813373,1.1102230246251565e-16,odd
0.86,-0.7178779350076078,-0.7178779350076077,2.180205133605397,-0.7178779350076077,1.1102230246251565e-16,odd
0.87,-0.7609620895063736,-0.7609620895048628,2.201342941628337,-0.7609620895048628,1.510791491909913e-12,odd
0.88,-0.8041321288554739,-0.8041321288541032,2.222398693082771,-0.8041321288541032,1.3706813462022183e-12,odd
0.89,-0.8473867856549976,-0.847386785654831,2.2433729487051384,-0.847386785654831,1.6653345369377348e-13,odd
0.9,-0.8907248094147424,-0.8907248094147345,2.264266269173991,-0.8907248094147345,7.882583474838611e-15,odd
0.91,-0.934144966528237,-0.934144966528237,2.285079214995227,-0.934144966528237,0.0,odd
0.92,-0.9776460402340852,-0.977646040234085,2.305812346389745,-0.977646040234085,2.220446049250313e-16,odd
0.93,-1.0212268305653411,-1.0212268305653394,2.326466223183547,-1.0212268305653394,1.7763568394002505e-15,odd
0.9400000000000001,-1.0648861542876422,-1.0648861542875931,2.3470414047002666,-1.0648861542875931,4.907185768843192e-14,odd
0.9500000000000001,-1.1086228448267443,-1.1086228448263893,2.3675384496561436,-1.1086228448263893,3.5504932327512506e-13,odd
0.96,-1.1524357521861526,-1.1524357521846689,2.387957916057451,-1.1524357521846689,1.4837020501090592e-12,odd
0.97,-1.1963237428554494,-1.196323742852018,2.408300361100354,-1.196323742852018,3.431477324511434e-12,odd
0.98,-1.2402856997099416,-1.240285699709518,2.428566341073213,-1.240285699709518,4.2366110619695974e-13,odd
0.99,-1.2843205219022225,-1.2843205219022227,2.448756411261319,-1.2843205219022227,2.220446049250313e-16,odd
1.0,-1.3284271247461903,-1.32842712474619,2.468871125854056,-1.32842712474619,2.220446049250313e-16,odd
